997	10000	50000
8	10001	50001
567	10002	50002
688	10003	50003
695	10004	50004
315	10005	50005
184	10006	50006
68	10007	50007
667	10008	50008
526157192	10009	50009
526157196	10010	50010
526322264	10011	50011
500	10012	50012
107	10013	50013
219	10014	50014
299	10015	50015
644	10016	50016
947	10017	50017
985	10018	50018
320	10019	50019
943	10020	50020
648	10021	50021
844	10022	50022
882	10023	50023
993	10024	50024
656	10025	50025
962	10026	50026
767	10027	50027
1021	10028	50028
1085	10029	50029
453	10030	50030
12993	10031	50031
12994	10032	50032
12995	10033	50033
12996	10034	50034
12997	10035	50035
12998	10036	50036
322	10037	50037
793	10038	50038
346	10039	50039
865	10040	50040
921	10041	50041
686	10042	50042
719	10043	50043
353	10044	50044
558	10045	50045
838	10046	50046
654	10047	50047
702	10048	50048
889	10049	50049
929	10050	50050
329	10051	50051
981	10052	50052
201	10053	50053
1047	10054	50054
1070	10055	50055
1038	10056	50056
1062	10057	50057
480149202	10058	50058
480149206	10059	50059
480149210	10060	50060
480149214	10061	50061
480149218	10062	50062
480149222	10063	50063
480149226	10064	50064
337	10065	50065
1030	10066	50066
113	10067	50067
1094	10068	50068
1128	10069	50069
478	10070	50070
510	10071	50071
345	10072	50072
878	10073	50073
657	10074	50074
950	10075	50075
974	10076	50076
1102	10077	50077
2	10078	50078
369	10079	50079
450	10080	50080
854	10081	50081
577	10082	50082
625	10083	50083
945	10084	50084
1026	10085	50085
361	10086	50086
1006	10087	50087
670	10088	50088
1086	10089	50089
1111	10090	50090
9	10091	50091
461	10092	50092
182305689	10093	50093
182305693	10094	50094
182305697	10095	50095
182305701	10096	50096
182305705	10097	50097
182305709	10098	50098
182305713	10099	50099
378	10100	50100
873	10101	50101
806	10102	50102
1035	10103	50103
1090	10104	50104
862	10105	50105
893	10106	50106
1057	10107	50107
36	10108	50108
180	10109	50109
148	10110	50110
187	10111	50111
638	10112	50112
662	10113	50113
677	10114	50114
897	10115	50115
1106	10116	50116
1010	10117	50117
1058	10118	50118
857	10119	50119
849	10120	50120
247	10121	50121
1011	10122	50122
527	10123	50123
600	10124	50124
678	10125	50125
252	10126	50126
156	10127	50127
243	10128	50128
480149230	10129	50129
480149234	10130	50130
480149238	10131	50131
480149242	10132	50132
480149246	10133	50133
480149250	10134	50134
480149254	10135	50135
1002	10136	50136
735	10137	50137
251	10138	50138
816	10139	50139
847	10140	50140
954	10141	50141
1005	10142	50142
1027	10143	50143
696	10144	50144
643	10145	50145
759	10146	50146
791	10147	50147
249	10148	50148
456	10149	50149
